mg	01110000101	
mh	110111110	
mi	101011010	
mj	001110000011001	
mk	110101110111	
ml	0111011000	
mm	00111011110	
mn	101110011	
mo	100101100	
mp	10001001100	
mq	111000000101101	
mr	111000100	
ms	110100111	
mt	010011010	
mu	00001110010	
mv	100001010011	
mw	01000000110	
mx	001110111110111	
my	10000101000	
mz	0100000010011100	
na	00000010	
nb	0110110010	
nc	100001100	
nd	11100011	
ne	0100111	
nf	110101111	
ng	0000010011	
nh	01011101	
ni	00111001	
nj	1010111101011	
nk	01011000010	
nl	000001011	
nm	101110010	
nn	00111111	
no	00011111	
np	0001011010	
nq	01101110100001	
nr	01100011	
ns	01010100	
nt	1101000	
nu	100001111	
nv	00001110100	
nw	101111110	
nx	1011100010111	
ny	0000110111	
nz	11000111111100	
oa	1100100	
ob	0100010000	
oc	010110001	
od	10111100	
oe	0011001	
of	101011100	
og	110101000	
oh	00111101	
oi	00001111	
oj	1001001100001	
ok	00111011100	
ol	11010101	
om	100101011	
on	00011110	
oo	1111101	
op	111000010	
oq	01000000100101	
or	01000011	
os	00110110	
ot	1010100	
ou	010111001	
ov	1110000000	
ow	100110101	
ox	1001100000101	
oy	110111100	
oz	10100010100010	
pa	110001001	
pb	001110111111	
pc	01010010001	
pd	1011100000	
pe	001010010	
pf	10100010110	
pg	11000101101	
ph	0011100001	
pi	0000101101	
pj	100010010100001	
pk	0011100000000	
pl	1100011000	
pm	10001001011	
pn	0001000101	
po	111000001	
pp	11011110100	
pq	0011100000110110	
pr	0011110001	
ps	0010110010	
pt	101000010	
pu	01010101110	
pv	110101110100	
pw	10010100110	
px	100010011111010	
py	11010111000	
pz	1010001010000000	
qa	00100001110110	
qb	1010001010000001	
qc	101000101000110	
qd	001000011100010	
qe	0111000011111	
qf	111111111010101	
qg	0010111001010000	
qh	10001001010011	
qi	01010101111100	
qj	0111110010011101011	
qk	01111100100111011	
ql	001011100101001	
qm	111000000101100	
qn	01101110100000	
qo	01000000100100	
qp	0011100000110001	
qq	01111100100111010100	
qr	10010011000111	
qs	01111100100011	
qt	1111111110111	
qu	101011110101001	
qv	00111000001100000	
qw	111011011001101	
qx	1111111110101000110	
qy	0010111001010111	
qz	11111111101010001110	
ra	00101010	
rb	1001100001	
rc	101011111	
rd	000111010	
re	0111111	
rf	0000110100	
rg	0010111010	
rh	10001111	
ri	01011001	
rj	1101111010111	
rk	10001001101	
rl	001011110	
rm	111000011	
rn	01100010	
ro	01000010	
rp	0011110000	
rq	10010011000110	
rr	10010111	
rs	10000100	
rt	00001000	
ru	101100111	
rv	00111011011	
rw	111110001	
rx	1110110110010	
ry	0011011111	
rz	11111111101001	
sa	00010111	
sb	1000010101	
sc	100111011	
sd	000010111	
se	0110100	
sf	111110010	
sg	0001011011	
sh	01110111	
si	01001010	
sj	1100011111000	
sk	01101110111	
sl	000111000	
sm	110100110	
sn	01010011	
so	00110001	
sp	0010110001	
sq	01111100100010	
sr	10000011	
ss	01101101	
st	1111000	
su	101000100	
sv	00100111011	
sw	110110110	
sx	1101011100101	
sy	0010001101	
sz	11010111011000	
ta	1000101	
tb	0000011011	
tc	001000001	
td	01111001	
te	111001	
tf	011000011	
tg	100011100	
th	00000000	
ti	1100000	
tj	0100110000000	
tk	1111111100	
tl	10010001	
tm	010011001	
tn	1100111	
to	1010011	
tp	100111101	
tq	1111111110110	
tr	00000111	
ts	1110111	
tt	0101111	
tu	001001000	
tv	1001110100	
tw	010101010	
tx	0100110110111	
ty	100110010	
tz	01010101111010	
ua	010000010	
ub	10110010111	
uc	1100110000	
ud	0011100011	
ue	10011111	
uf	00100111100	
ug	01000101010	
uh	101011000	
ui	011110111	
uj	000001001011001	
uk	101010111010	
ul	0100010110	
um	00001110001	
un	100001110	
uo	010111000	
up	01010101101	
uq	101011110101000	
ur	101100110	
us	101000011	
ut	001000111	
uu	1100110011	
uv	010011011101	
uw	00010001001	
ux	000001001011111	
uy	01001101100	
uz	0010000111000010	
va	1011111000	
vb	0011100000111	
vc	010011000001	
vd	10101111011	
ve	0010010010	
vf	101000101001	
vg	110001000010	
vh	00110000110	
vi	1111111111	
vj	0110111010010101	
vk	00101110010110	
vl	11000100010	
vm	100001010010	
vn	00001110011	
vo	1101111011	
vp	110101110011	
vq	00100001110000111	
vr	00111011010	
vs	00100111010	
vt	1001100111	
vu	010011011100	
vv	1100011111111	
vw	100010011110	
vx	1000100101000111	
vy	110001111110	
vz	10100010100000110	
wa	011101101	
wb	11101101111	
wc	00001110101	
wd	0110111000	
we	11011000	
wf	01011000000	
wg	01111100101	
wh	111000101	
wi	101101010	
wj	001110111110100	
wk	111000000110	
wl	0111110100	
wm	01000000101	
wn	101111101	
wo	100110100	
wp	10010011001	
wq	111011011001100	
wr	111110000	
ws	110110101	
wt	010100101	
wu	00010001000	
wv	100010010101	
ww	01000101001	
wx	010000001001101	
wy	10001001001	
wz	0101010111100010	
xa	0110111011010	
